Date dd/mm/yyyy,Time HH:MM,Division,Home Team,Away Team,Venue,Pitch,Home Score,Away Score
01/02/2026,21:00,,帅气Lee,南航小蜘蛛,,#1,,
01/02/2026,21:00,,克里文森蓝水泉,恶灵骑士,,#1,,
01/02/2026,21:00,,拜二慕尼黑,西红柿马铃薯,,#1,,
01/02/2026,21:00,,我也没意见,拉斐尔喜悦,,#1,,
01/02/2026,21:00,,医药代表,香港秦始皇,,#1,,
01/02/2026,21:00,,皇家老司机,学术废物,,#1,,
08/02/2026,21:00,,拉斐尔喜悦,帅气Lee,,#1,,
08/02/2026,21:00,,香港秦始皇,西红柿马铃薯,,#1,,
08/02/2026,21:00,,学术废物,恶灵骑士,,#1,,
08/02/2026,21:00,,皇家老司机,南航小蜘蛛,,#1,,
08/02/2026,21:00,,医药代表,克里文森蓝水泉,,#1,,
08/02/2026,21:00,,我也没意见,拜二慕尼黑,,#1,,
15/02/2026,21:00,,恶灵骑士,帅气Lee,,#1,,
15/02/2026,21:00,,西红柿马铃薯,南航小蜘蛛,,#1,,
15/02/2026,21:00,,拉斐尔喜悦,克里文森蓝水泉,,#1,,
15/02/2026,21:00,,香港秦始皇,拜二慕尼黑,,#1,,
15/02/2026,21:00,,学术废物,我也没意见,,#1,,
15/02/2026,21:00,,皇家老司机,医药代表,,#1,,
22/02/2026,21:00,,香港秦始皇,帅气Lee,,#1,,
22/02/2026,21:00,,学术废物,拉斐尔喜悦,,#1,,
22/02/2026,21:00,,皇家老司机,西红柿马铃薯,,#1,,
22/02/2026,21:00,,医药代表,恶灵骑士,,#1,,
22/02/2026,21:00,,我也没意见,南航小蜘蛛,,#1,,
22/02/2026,21:00,,拜二慕尼黑,克里文森蓝水泉,,#1,,
01/03/2026,21:00,,克里文森蓝水泉,帅气Lee,,#1,,
01/03/2026,21:00,,南航小蜘蛛,拜二慕尼黑,,#1,,
01/03/2026,21:00,,恶灵骑士,我也没意见,,#1,,
